a	"prefix" "prefix ā shortened before a double consonant e.g. ā + kosati = akkosati; a negative prefixed to nouns, adjectives; and participles; e.g. na + kusala = akusala; the augment prefixed to some roots in the Past and Conditional Tenses; e.g. akāsi." "ā (ind.), up to. (prep.) from; towards."\n\n"(a=an) use the adjective eka for the indefinite, and the pron. ta for the definite article, both declined according to the gender, etc. of the substantives connected with them, e.g. eko puriso, a man. ekā gāvī, a cow. so coro, the thief. sā nārī, the woman. Very often the definite article is not required in Pali; simply rājā stands for 'the king'."
a good deal	"(adv.) bhusaṁ; accantaṁ."
a good deal of	"(adj.) pacura; bahula."
a group of seven	"(nt.) sattaka."
a woman in course	"(f.) utunī; rajassalā."
ababa	"nt." "name of a purgatory; a numeral with 76 ciphers."
ababhāsa	"m." "light; appearance."
aback	"(adv.) pacchato; paṭimukhaṁ; sahasā."
abaddha	"adj." "unfettered; free; not bound." "ābaddha (pp. of ābandhati), bound to; fastened on to."
abala	"adj." "weak; feeble." "abalā (f.), a woman."
abandhana	"adj." "unfettered; free; not bound."
abandon	"(v.t.) cajati; jahāti; pajahati; vijahati; vajjeti. (pp.) catta; jahita; pajahita; vijahita; vajjita."
abandonment	"(nt.) cajana; pahāna; vijahana; vajjana."
abase	"(v.t.) avajānāti; avamaññati. (pp.) avaññāta; avamānita or avamata."
abasement	"(f.) avaññā. (nt.) avamāna. (m.) paribhava."
abash	"(v.t.) lajjāpeti. (pp.) lajjāpita."
abate	"(v.t.) hāpeti; passambheti. (pp.) hāpita; passambhita. (v.i.) hāyati; passambhati. (pp.) hīna; passaddha."
abbacy	"(nt.) vihārādhipacca."
abbata	"adj." "without moral obligations."
abbaṇa	"adj." "woundless."
abbey	"(m.) mahāvihāra; padhānassama."
abbha	"nt." "sky; cloud."
abbhaka	"nt." "graphite; plumbago."
abbhakalekhanī	"f." "pencil."
abbhakkhāna -	"false accusation; slander."
abbhakkhāsi	"aor. of abbhakkhāti" "slandered; spoke against."
abbhakkhāti	"abhi + ā + khā + a" "slanders; speaks against."
abbhakūṭa	"nt." "the summit of a storm-cloud."
abbhantara	"nt." "the inside; interior. (adj.), inner; internal."
abbhantarika	"adj." "intimate; confident."
abbhanumodanā	"f." "great appreciation; rejoicing after merit."
abbhapaṭala	"nt." "a mass of clouds."
abbhatīta	"adj." "gone by; past."
abbhañjana	"nt." "1. anointing; oiling; 2. unguent."
abbhañjati	"abhi + añj + a" "anoints; lubricates."
abbhañji	"aor. of abbhañjati" "anointed; lubricated."
abbhañjita	"pp." "annointed."
abbhisambuddha	"pp. of abhisambujjhati" "gained the highest wisdom."
abbhokirati	"abhi + ava + kir + a" "sprinkles over."
abbhokiraṇa	"nt." "1. sprinkling; 2. movements of a dancer."
abbhokiri	"aor. of abbhokirati" "sprinkled over."
abbhokiṇṇa	"adj." "crowded."
abbhokāsa	"m." "unsheltered place; open air."
abbhokāsika	"m." "one who lives in the open air."
abbhudesi	"aor. of abbhudeti" "rose; came into existence."
abbhudeti	"abhi + udi + e" "rises; comes into existence."
abbhuggacchati	"abhi + u + gam + a" "rises up; is diffused."
abbhuggacchi	"aor. of abbhuggacchati" "rose up; was diffused."
abbhuggamana	"nt." "rising over."
abbhuggantvā	"abs. of abbhuggacchati" "having risen up; having jumped up."
abbhuggata	"pp. of abbhuggacchati" "risen up; was diffused."
abbhuggirati	"bhi + u + gir + a" "raises up or brandishes something in a threatening manner."
abbhuggiraṇa	"nt." "brandishing."
abbhuggiri	"aor. of abbhuggirati" "raised up or brandished something in a threatening manner."
abbhukkirati	"abhi + u + kir + a" "sprinkles over."
abbhukkiraṇa	"nt." "drawing out; sprinkling."
abbhukkiri	"aor. of abbhukkirati" "sprinkled over."
abbhumme	"intj." "alas !"
abbhunnata	"adj." "risen high; high."
abbhuta	"adj." "wonderful; marvelous. (nt.), a wonder; a marvel; a bet. a bet."
abbhutasālā	"f." "museum"
abbhuyyāta	"pp. of abbhuyyāti" "march against."
abbhuyyāti	"abhi + u + yā + a" "marches against."
abbhuṭṭhāna	"nt." "rising; getting up; progress."
abbhācikkhana	"nt." "accusation; slander."
abbhācikkhati	"abhi + ā + cikkh + a" "accuses; culminates."
abbhācikkhi	"aor. of abbhācikkhati" "accused; culminated."
abbhāgamana	"nt." "arrival; coming forward."
abbhāgata	"3." "a guest; a stranger. (pp.), arrived."
abbhāhata	"pp. of abbhāhanati" "attacked; afflicted."
abbhāmatta	"adj." "of the size of a cloud."
abbocchinna	"adj." "uninterrupted"
abbohārika	"adj." "negligible"
abbokiṇṇa	"adj." "uninterrupted; constant; not crowded."
abbot	"(m.) vihārādhipati; assamasāmī."
abbreviate	"(v.t.) saṅkhipati; samāseti. (pp.) saṅkhitta; samāsita."
abbreviation	"(m.) saṅkhepa; saṅgaha. (nt.) samasana."
abbuda	"nt." "1. a tumour; 2. the foetus in the 2nd week after conception; 3. cause of disunion; 4. name of a purgatory."
abbūhati	"ā + vi + ūh + a" "draws off; pulls out."
abbūhi	"aor. of abbūhati" "drew off; pulled out"
abbūḷha	"pp. of abbūhati" "drawn off; pulled out"
abdicate	"(v.t.) dhuraṁ nikkhipati; rajjā apagacchati. (pp.) nikkhittadhura; apagatarajja."
abdication	"(m.) dhuranikkhepa; rājattāpagama."
abdomen	"(nt.) udara; jaṭhara. (m.; f.) kucchi. (nt.) dunimitta."
abdominal	"(adj.) udarābaddha."
abduct	"(v.t.) avaharati; pasayha harati. (pp.) avahaṭa."
abduction	"(m.) avahāra. (nt.) sahasāharaṇa."
aberrant	"(adj.) udarābgaddha."
aberration	"(nt.) uppathagamana. (m.) aññāya."
abet	"(v.t.) duccaritte upatthambheti; aparādhaṁ nigūhati. (pp.) duccarite upatthambhita; aparādhaṁnigūhitāparādha."
abeyance	"(f.) tāvakālika-pas-saddhe. (nt.) sannisīdana."
abhabba	"adj." "unable; not proficient."
abhabbatā	"adj." "inability; impossibility."
abhavi	"aor. of bhavati" "became; existed."
abhavissā	"v." "(he) would have been."
abhaya	"adj." "safe; fearless. (nt.), safety." "abhayā (f.), yellow myrobalan."
abhejja	"adj." "not to be split or divided."
abhibhavana	"nt." "overcoming; vanquishing."
abhibhavanīya	"adj." "what should be overcome."
abhibhavati	"abhi + bhū + a" "overcomes; conquers."
abhibhavi	"aor. of abhibhavati" "overcame; conquered."
abhibhū	"m." "conqueror; overlord."
abhibhūta	"pp. of abhibhavati" "overpowered; vanquished."
abhidhamati	"abhi + dham + a" "blows on."
abhidhami	"aor. of abhidhamati" "blew on."
abhidhamma	"m." "the analytic doctrine of the Buddhist Canon."
abhidhammika	"adj." "one who teaches abhidhamma." "ābhidhammika (adj.), versed in or studying Abhidhamma."
abhidheyya	"adj." "having the name of. (nt.), meaning."
abhidhā	"f." "name; appellation."
abhidhāna	"nt." "name; appellation."
abhidhāvati	"abhi + dhāv + a" "runs towards; runs against; hastens."
abhidhāvi	"aor. of abhidhāvati" "ran towards; hastened."
abhidosa	"m." "last evening."
abhidosika	"adj." "belonging to the last evening." "ābhidosika (adj.), belonging to the last evening."
abhigajjana	"nt." "roaring, thundering."
abhigajjati	"abhi + gad + ya" "roars; thunders."
abhigajji	"aor. of abhigajjati" "roared; thundered."
abhighāta	"m." "1. impact; contact; 2. killing."
abhighātana	"nt." "slaying; destroying."
abhighātī	"m." "enemy; destroyer."
abhigijjhana	"nt." "craving; greed."
abhigijjhati	"abhi + gidh + ya" "craves for."
abhigijjhi	"aor. of abhigijjhati" "craved for."
abhigīta	"pp. of abhigāyati" "sung for."
abhihanati	"abhi + han + a" "strikes; hits."
abhihani	"aor. of abhihanati" "struck; hit."
abhiharati	"abhi + har + a" "brings to; to offers."
abhihari	"aor. of abhiharati" "brought to; offered."
abhiharituṁ	"inf. of abhiharati" "to bring over."
abhihata	"pp. of abhihanati" "struck; hit." "abhihaṭa (pp. of abhiharati), brought to; offered."
abhihaṭṭhuṁ	"inf. of abhiharati" "to bring over."
abhihita	"pp. of abhidhāti" "spoken. (nt.), a word; saying."
abhihāra	"m." "bringing near; offering."
abhijappana	"nt." "1. mumbling; 2. wish; 3. talk."
abhijappati	"abhi + jap + a" "prays for; mumbles."
abhijappi	"aor. of abhijappati" "prayed for; mumbled."
abhijappita	"nt." "1. mumbling; 2. wish; 3. talk."
abhijigiṁsati	"abhi + har + sa*" "wishes to overcome." "*har is changed to gin; gi is doubled and the former gi is changed to ji."
abhijigiṁsi	"aor. of abhijigiṁsati" "wished to overcome."
abhijjamāna	"adj." "not breaking or separating."
abhijjanaka	"adj." "not breaking or separating."
abhijjhita	"pp. of abhijjhāyati" "wished for; coveted."
abhijjhā	"f." "covetousness"
abhijjhālu	"adj." "covetous."
abhijjhāyati	"abhi + jhe + a" "wishes for; covets."
abhijjhāyi	"aor. of abhijjhāyati" "wished for; coveted."
abhijānana	"nt." "recognition; recollection."
abhijāni	"aor. of abhijānāti" "knew fully or by experience; was aware"
abhijānāti	"abhi + ñā + nā" "knows fully or by experience; is aware."
abhijāta	"adj." "well-born; of noble birth."
abhijāti	"f." "1. rebirth; descent; 2. species."
abhijāyati	"abhi + jan + ya" "is born or arose well."
abhikaṅkhana	"nt." "hope; longing; wish."
abhikaṅkhati	"abhi + kakh + ṁ-a" "longs or wishes for."
abhikaṅkhi	"aor. of abhikaṅkhati" "longed or wished for." "abhikaṅkhī (adj.), wishing for; desirous."
abhikaṅkhita	"pp. of abhikaṅkhati" "longed or wished for. (nt.), hope; longing; wish."
abhikirati	"abhi + kir + a" "scatter over; to sprinkle."
abhikiraṇa	"nt." "scattering over."
abhikiṇṇa	"pp. of abhikirati" "strewn over with."
abhikkama	"m." "going forward."
abhikkamati	"abhi + kam + a" "proceeds."
abhikkami	"aor. of abhukkamati" "proceeded."
abhikkanta	"pp. of abhikkamati" "1. gone forward; past; 2. most pleasant. (nt.), going forward."
abhikkantatara	"adj." "more brilliant."
abhikkhaṇa	"adj." "constant."
abhikkhaṇana	"nt." "digging."
abhikkhaṇati	"abhi + kha + a" "digs up."
abhikkhaṇaṁ	"adv." "constantly; often."
abhikkhaṇi	"aor. of abhikhaṇati" "dug."
abhikūjana	"nt." "singing of birds."
abhikūjati	"abhi + kuj + a" "warbles; sings (of birds)."
abhikūji	"aor. of abhikūjati" "warbled; sang (of birds)."
abhikūjita	"pp. of abhikūjati" "resounding with (the song of birds)."
abhilakkhesi	"aor. of abhilakkheti" "marked; designed."
abhilakkheti	"abhi + lakkh + e" "marks; designs."
abhilakkhita	"pp. of abhilakkheti" "marked by."
abhilāpa	"m." "talk; speech."
abhilāsā	"f." "wish; desire."
abhimaddana	"nt." "crushing; subjugation."
abhimaddati	"abhi + madd + a" "crushes; subdues."
abhimaddi	"aor. of abhimaddati" "crushed; subdued."
abhimaddita	"pp. of abhimaddati" "crushed; subdued."
abhimanthati	"abhi + manth + a" "crushes; churns; agitates."
abhimanthesi	"aor. of abhimantheti" "curshed; shurned; agitated."
